Country,Export,Import,Total Trade,Trade Balance,FinancialYearStart,FinancialYearEnd
AFGHANISTAN,997.58,529.84,1527.42,467.74,2019,2020
ALBANIA,44.12,47.51,91.62,-3.39,2019,2020
ALGERIA,611.02,1996.76,2607.79,-1385.74,2019,2020
AMERI SAMOA,0.13,3.08,3.21,-2.95,2019,2020
ANDORRA,0.08,0.03,0.11,0.04,2019,2020
ANGOLA,285.1,3649.02,3934.11,-3363.92,2019,2020
ANGUILLA,0.04,0.1,0.14,-0.05,2019,2020
ANTARCTICA,0.02,0.08,0.1,-0.05,2019,2020
ANTIGUA,2.19,0.2,2.38,1.99,2019,2020
ARGENTINA,763.24,2327.26,3090.49,-1564.02,2019,2020
ARMENIA,40.49,1.56,42.05,38.93,2019,2020
ARUBA,9.87,0.3,10.17,9.56,2019,2020
AUSTRALIA,2852.14,9782.22,12634.36,-6930.08,2019,2020
AUSTRIA,455.59,629.74,1085.32,-174.15,2019,2020
AZERBAIJAN,53.21,273.91,327.12,-220.7,2019,2020
BAHAMAS,60.48,14.7,75.18,45.79,2019,2020
BAHARAIN IS,559.09,421.5,980.6,137.59,2019,2020
BANGLADESH PR,8200.75,1264.74,9465.49,6936.00,2019,2020
BARBADOS,12.76,1.48,14.24,11.28,2019,2020
BELARUS,55.77,147.44,203.21,-91.67,2019,2020
BELGIUM,5809.88,8879.46,14689.35,-3069.58,2019,2020
BELIZE,14.27,0.96,15.23,13.31,2019,2020
BENIN,326.62,358.94,685.55,-32.32,2019,2020
BERMUDA,2.48,2.48,,,2019,2020
BHUTAN,738.6,405.73,1144.33,332.87,2019,2020
BOLIVIA,113.46,845.88,959.35,-732.42,2019,2020
BOSNIA-HRZGOVIN,15.32,3.33,18.64,11.99,2019,2020
BOTSWANA,178.74,744,922.74,-565.26,2019,2020
BR VIRGN IS,0.49,8.57,9.06,-8.08,2019,2020
BRAZIL,3967.39,3074.97,7042.36,892.42,2019,2020
BRUNEI,57.62,586.28,643.9,-528.66,2019,2020
BULGARIA,158.9,144.06,302.96,14.84,2019,2020
BURKINA FASO,153.94,542.67,696.61,-388.72,2019,2020
BURUNDI,58.47,3.83,62.29,54.64,2019,2020
C AFRI REP,55.63,0.56,56.19,55.06,2019,2020
CAMBODIA,188.12,46.69,234.81,141.43,2019,2020
CAMEROON,228.45,676.36,904.81,-447.91,2019,2020
CANADA,2851.79,3880.33,6732.13,-1028.54,2019,2020
CAPE VERDE IS,2.17,2.04,4.22,0.13,2019,2020
CAYMAN IS,6.58,1.44,8.02,5.15,2019,2020
CHAD,58.69,270.75,329.44,-212.06,2019,2020
CHILE,793.43,1175.67,1969.10,-382.24,2019,2020
CHINA,16612.75,65260.75,81873.50,-48647.99,2019,2020
USA,16612.75,65260.75,81873.50,-48647.99,2019,2020
CHRISTMAS IS.,0,0.01,0.02,-0.01,2019,2020
COLOMBIA,1043.41,810.95,1854.37,232.46,2019,2020
COMOROS,18.88,19.65,38.52,-0.77,2019,2020
CONGO D. REP.,352.77,32.13,384.9,320.65,2019,2020
CONGO P REP,112.91,587.5,700.42,-474.59,2019,2020
COOK IS,0.32,,,,2019,2020
COSTA RICA,126.63,48.71,175.33,77.92,2019,2020
COTE D' IVOIRE,414.67,454.88,869.55,-40.22,2019,2020
CROATIA,146.97,57.18,204.15,89.79,2019,2020
CUBA,47.51,3.53,51.04,43.98,2019,2020
CYPRUS,443.28,74.43,517.71,368.85,2019,2020
CZECH REPUBLIC,496.35,299.42,795.77,196.93,2019,2020
DENMARK,733.96,632.4,1366.36,101.55,2019,2020
DJIBOUTI,316.01,19.54,335.55,296.47,2019,2020
DOMINIC REP,213.32,361.11,574.43,-147.79,2019,2020
DOMINICA,2.17,0.25,2.42,1.92,2019,2020
ECUADOR,253,361.6,614.6,-108.6,2019,2020
EGYPT,2504.23,2031.38,4535.61,472.86,2019,2020
EL SALVADOR,79.34,3.2,82.55,76.14,2019,2020
EQUTL GUINEA,10.92,972.88,983.8,-961.96,2019,2020
ERITREA,5.92,5.92,,,2019,2020
ESTONIA,65.44,54.06,119.5,11.38,2019,2020
ETHIOPIA,798.31,98.55,896.86,699.76,2019,2020
FALKLAND IS,0.08,0.03,0.11,0.05,2019,2020
FAROE IS.,0.91,,,,2019,2020
FIJI IS,55.7,0.57,56.27,55.13,2019,2020
FINLAND,268.63,625.65,894.28,-357.03,2019,2020
FR GUIANA,0.98,2.9,3.88,-1.92,2019,2020
FR POLYNESIA,6.04,0.05,6.1,5.99,2019,2020
FRANCE,5097.81,6168.82,11266.63,-1071.00,2019,2020
GABON,45.55,138.4,183.94,-92.85,2019,2020
GAMBIA,132.33,40.95,173.28,91.38,2019,2020
GEORGIA,82.77,11.4,94.17,71.38,2019,2020
GERMANY,8290.90,13691.11,21982.00,-5400.21,2019,2020
GHANA,617.42,1773.55,2390.97,-1156.13,2019,2020
GIBRALTAR,629.14,1.01,630.14,628.13,2019,2020
GREECE,445.59,123.71,569.3,321.88,2019,2020
GREENLAND,0.03,,,,2019,2020
GRENADA,2.79,0.48,3.27,2.31,2019,2020
GUADELOUPE,7.8,0.2,8,7.6,2019,2020
GUAM,0.91,0,0.91,0.91,2019,2020
GUATEMALA,291.32,22.95,314.27,268.38,2019,2020
GUERNSEY,,,,,2019,2020
GUINEA,354.82,416.3,771.13,-61.48,2019,2020
GUINEA BISSAU,8.99,124.54,133.53,-115.54,2019,2020
GUYANA,25.21,6.95,32.16,18.26,2019,2020
HAITI,65.51,13.94,79.45,51.57,2019,2020
HONDURAS,185.34,19.32,204.66,166.02,2019,2020
HONG KONG,10967.12,16935.32,27902.43,-5968.20,2019,2020
HUNGARY,423.94,187.68,611.62,236.26,2019,2020
ICELAND,10.05,10.41,20.46,-0.36,2019,2020
INDONESIA,4129.33,15061.87,19191.20,-10932.55,2019,2020
IRAN,3373.62,1397.33,4770.95,1976.29,2019,2020
IRAQ,1878.17,23740.18,25618.34,-21862.01,2019,2020
IRELAND,533.69,604.15,1137.84,-70.46,2019,2020
ISRAEL,3363.10,1592.70,4955.80,1770.40,2019,2020
ITALY,4970.81,4490.92,9461.74,479.89,2019,2020
JAMAICA,56.76,2.96,59.71,53.8,2019,2020
JAPAN,4520.25,12434.67,16954.92,-7914.41,2019,2020
JERSEY,0.14,0.14,,,2019,2020
JORDAN,960.66,1064.66,2025.31,-104,2019,2020
KAZAKHSTAN,202.59,2255.70,2458.29,-2053.12,2019,2020
KENYA,2108.58,89.62,2198.20,2018.96,2019,2020
KIRIBATI REP,0.39,,,,2019,2020
KOREA DP RP,8.97,3.47,12.44,5.5,2019,2020
KOREA RP,4845.15,15659.70,20504.85,-10814.55,2019,2020
KUWAIT,1286.56,9573.80,10860.36,-8287.24,2019,2020
KYRGHYZSTAN,29.13,1.33,30.46,27.8,2019,2020
LAO PD RP,25.08,3.09,28.18,21.99,2019,2020
LATVIA,119.25,265.54,384.79,-146.29,2019,2020
LEBANON,203.97,30.94,234.91,173.04,2019,2020
LESOTHO,40.78,0.04,40.83,40.74,2019,2020
LIBERIA,219.52,7.75,227.27,211.77,2019,2020
LIBYA,184.4,43.09,227.49,141.31,2019,2020
LIECHTENSTEIN,4.36,0.42,4.77,3.94,2019,2020
LITHUANIA,110.76,262.09,372.86,-151.33,2019,2020
LUXEMBOURG,20.34,54.35,74.7,-34.01,2019,2020
MACAO,6.28,5.09,11.37,1.19,2019,2020
MACEDONIA,22.61,14.51,37.12,8.09,2019,2020
MADAGASCAR,301.73,119.24,420.97,182.5,2019,2020
MALAWI,185.09,31.76,216.85,153.33,2019,2020
MALAYSIA,6364.66,9782.28,16146.94,-3417.62,2019,2020
MALDIVES,226.57,6,232.57,220.58,2019,2020
MALI,146.14,38.07,184.21,108.07,2019,2020
MALTA,208.2,121.9,330.1,86.3,2019,2020
MARSHALL ISLAND,32.53,3.61,36.13,28.92,2019,2020
MARTINIQUE,3.81,0.29,4.1,3.52,2019,2020
MAURITANIA,83.83,10.7,94.53,73.14,2019,2020
MAURITIUS,662.13,27.89,690.02,634.23,2019,2020
MAYOTTE,3.13,0.36,3.49,2.78,2019,2020
MEXICO,3623.71,4296.80,7920.51,-673.08,2019,2020
MICRONESIA,0.53,,,,2019,2020
MOLDOVA,8.71,0.25,8.96,8.45,2019,2020
MONACO,1.96,61.5,63.47,-59.54,2019,2020
MONGOLIA,16.27,1.3,17.56,14.97,2019,2020
MONTENEGRO,19.96,0.16,20.12,19.8,2019,2020
MONTSERRAT,0.06,,,,2019,2020
MOROCCO,799.45,952.54,1751.99,-153.09,2019,2020
MOZAMBIQUE,2174.31,835.07,3009.38,1339.24,2019,2020
MYANMAR,973.89,547.25,1521.13,426.64,2019,2020
N. MARIANA IS.,0.15,0,0.15,0.15,2019,2020
NAMIBIA,66.18,28.54,94.72,37.63,2019,2020
NAURU RP,0.14,0.07,0.21,0.07,2019,2020
NEPAL,7160.35,711.61,7871.95,6448.74,2019,2020
NETHERLANDS,8366.11,3390.97,11757.08,4975.15,2019,2020
NETHERLANDANTIL,30,22.76,52.76,7.25,2019,2020
NEW CALEDONIA,15.2,0.23,15.43,14.97,2019,2020
NEW ZEALAND,378.55,521.83,900.38,-143.27,2019,2020
NICARAGUA,65.52,3.6,69.11,61.92,2019,2020
NIGER,73.6,0.9,74.5,72.69,2019,2020
NIGERIA,3609.91,10213.61,13823.51,-6603.70,2019,2020
NIUE IS,0.08,,,,2019,2020
NORFOLK IS,0.33,0.45,0.78,-0.11,2019,2020
NORWAY,421.61,630.79,1052.40,-209.18,2019,2020
OMAN,2261.81,3669.33,5931.14,-1407.52,2019,2020
PAKISTAN,816.62,13.97,830.58,802.65,2019,2020
PALAU,0.05,0,0.06,0.05,2019,2020
PANAMA C Z,0.01,,,,2019,2020
PANAMA REPUBLIC,238.52,75.83,314.35,162.7,2019,2020
PAPUA N GNA,56.02,55.7,111.71,0.32,2019,2020
PARAGUAY,126.96,25.28,152.24,101.68,2019,2020
PERU,764,1575.09,2339.09,-811.09,2019,2020
PHILIPPINES,1526.03,523.83,2049.87,1002.20,2019,2020
PITCAIRN IS.,0.02,0.02,0.04,0,2019,2020
POLAND,1548.11,849.58,2397.68,698.53,2019,2020
PORTUGAL,744.79,141.82,886.6,602.97,2019,2020
PUERTO RICO,134.44,52.45,186.89,81.99,2019,2020
QATAR,1268.35,9685.98,10954.33,-8417.63,2019,2020
REUNION,40.15,18.52,58.67,21.63,2019,2020
ROMANIA,366.89,261.34,628.24,105.55,2019,2020
RUSSIA,3017.67,7093.01,10110.68,-4075.34,2019,2020
RWANDA,124.05,4.1,128.15,119.95,2019,2020
SAHARWI A.DM RP,0,,,,2019,2020
SAMOA,4.25,3,7.25,1.26,2019,2020
SAN MARINO,0.25,0.15,0.4,0.09,2019,2020
SAO TOME,1.5,,,,2019,2020
SAUDI ARABIA,6236.86,26857.37,33094.24,-20620.51,2019,2020
SENEGAL,477.1,469.47,946.56,7.63,2019,2020
SERBIA,83.68,11.51,95.18,72.17,2019,2020
SEYCHELLES,66.64,4.71,71.35,61.94,2019,2020
SIERRA LEONE,115.37,24.49,139.86,90.88,2019,2020
SINGAPORE,8922.66,14746.78,23669.44,-5824.11,2019,2020
SINT MAARTEN (DUTCH PART),0.08,,,,2019,2020
SLOVAK REP,138.42,54.84,193.25,83.58,2019,2020
SLOVENIA,332.55,248.43,580.99,84.12,2019,2020
SOLOMON IS,2.04,38.97,41.01,-36.93,2019,2020
SOMALIA,583.87,15.05,598.92,568.82,2019,2020
SOUTH AFRICA,4108.17,6969.79,11077.97,-2861.62,2019,2020
SOUTH SUDAN,20.05,7.33,27.37,12.72,2019,2020
SPAIN,3945.44,1613.17,5558.61,2332.26,2019,2020
SRI LANKA,3800.91,903.69,4704.61,2897.22,2019,2020
ST HELENA,0.33,0.01,0.35,0.32,2019,2020
ST KITT N A,2.56,,,,2019,2020
ST LUCIA,3.24,0.61,3.85,2.62,2019,2020
ST VINCENT,0.69,,,,2019,2020
STATE OF PALEST,1.09,0.74,1.83,0.35,2019,2020
SUDAN,1096.88,396.75,1493.63,700.12,2019,2020
SURINAME,31.12,55.07,86.19,-23.95,2019,2020
SVALLBARD AND J,0,,,,2019,2020
SWAZILAND,18.57,7.03,25.61,11.54,2019,2020
SWEDEN,748.42,1114.48,1862.90,-366.06,2019,2020
SWITZERLAND,1200.08,16899.89,18099.96,-15699.81,2019,2020
SYRIA,159.33,15.34,174.67,143.99,2019,2020
TAIWAN,1674.52,4046.23,5720.75,-2371.71,2019,2020
TAJIKISTAN,23.5,0.29,23.8,23.21,2019,2020
TANZANIA REP,1740.08,1023.47,2763.56,716.61,2019,2020
THAILAND,4299.30,6788.38,11087.67,-2489.08,2019,2020
TIMOR LESTE,6.33,,,,2019,2020
TOGO,1040.60,383.54,1424.14,657.06,2019,2020
TOKELAU IS,0,0.08,0.08,-0.08,2019,2020
TONGA,0.66,,,,2019,2020
TRINIDAD,85.11,84.42,169.53,0.68,2019,2020
TUNISIA,245.02,131.13,376.15,113.9,2019,2020
TURKEY,4969.47,2116.56,7086.03,2852.92,2019,2020
TURKMENISTAN,33.9,3.99,37.89,29.91,2019,2020
TURKS C IS,0.64,0.01,0.65,0.63,2019,2020
TUVALU,0,,,,2019,2020
U ARAB EMTS,28853.59,30256.65,59110.23,-1403.06,2019,2020
U K,8737.85,6712.63,15450.49,2025.22,2019,2020
U S A,53088.77,35819.87,88908.65,17268.90,2019,2020
UGANDA,621.52,33.98,655.5,587.54,2019,2020
UKRAINE,463.81,2060.79,2524.60,-1596.98,2019,2020
UNION OF SERBIA & MONTENEGRO,,,,,2019,2020
UNSPECIFIED,2546.99,123.49,2670.47,2423.50,2019,2020
URUGUAY,147.69,57.24,204.93,90.45,2019,2020
US MINOR OUTLYING ISLANDS,0.4,0.4,0.8,0,2019,2020
UZBEKISTAN,180.21,66.85,247.06,113.36,2019,2020
VANUATU REP,2.42,0.26,2.67,2.16,2019,2020
VATICAN CITY,0.03,0.18,0.21,-0.15,2019,2020
VENEZUELA,339.71,6057.01,6396.72,-5717.30,2019,2020
VIETNAM SOC REP,5059.90,7283.42,12343.32,-2223.53,2019,2020
VIRGIN IS US,81.4,7.5,88.9,73.89,2019,2020
WALLIS F IS,0.02,,,,2019,2020
YEMEN,721.25,22.73,743.98,698.52,2019,2020
ZAMBIA,247.64,843.32,1090.95,-595.68,2019,2020
ZIMBABWE,161.13,13.59,174.72,147.54,2019,2020
